Timestamp,Condition,SplashScreen,HeadX,HeadY,HeadZ, HeadRX, HeadRY, HeadRZ, RightHandx,RightHandy,RightHandz,RightHandRX,RightHandRY,RightHandRZLeftHandx,LeftHandy,LeftHandz,LeftHandRX,LeftHandRY,LeftHandRZ,ActionPoints,Action,GazeTarget
2019-08-12T16:18:38.7295600,,,-0.4354934,0.9620152,-0.9836367,350.0233,185.3965,0.3099298,-0.1139488,1.003096,-1.153312,-1.516607E-21,0,0,-0.05823624,0.9114145,-1.061396,0,0,0,,UMA,
2019-08-12T16:18:40.7637790,,,-0.4354992,0.9620203,-0.9836234,350.0234,185.3978,0.3089148,-0.1138241,1.003024,-1.153183,320.7574,87.15041,339.6327,-0.05802703,0.9113747,-1.061306,0,0,0,,UMA,
2019-08-12T16:18:40.8924350,,,-0.4350169,0.9619145,-0.9833999,349.9918,185.5358,0.3178332,-0.1137817,1.003152,-1.153113,320.7495,87.02146,339.6205,-0.05798024,0.9115144,-1.061086,0,0,0,,UMA,
2019-08-12T16:18:40.9273410,,,-0.4350067,0.9618898,-0.9834596,349.9798,185.5252,0.2799302,-0.1139153,1.003168,-1.153197,320.7501,87.00174,339.6252,-0.05821073,0.911486,-1.061259,0,0,0,,UMA,
2019-08-12T16:18:40.9462920,,,-0.4352237,0.9620137,-0.9832978,349.9646,185.523,0.2707684,-0.1138743,1.003145,-1.153172,320.7501,87.00174,339.6252,-0.0580464,0.911406,-1.061282,0,0,0,,UMA,
2019-08-12T16:18:40.9612510,,,-0.4352188,0.9619529,-0.9834123,349.9702,185.5388,0.2717164,-0.1140262,1.002974,-1.153379,320.7489,86.99463,339.629,-0.05818278,0.9112198,-1.06148,0,0,0,,UMA,
2019-08-12T16:18:40.9901740,,,-0.4351262,0.9619093,-0.9833879,349.9695,185.5267,0.2687362,-0.1139681,1.002927,-1.153152,320.7489,86.99463,339.629,-0.0581333,0.9112491,-1.061249,0,0,0,,UMA,
2019-08-12T16:18:41.0220880,,,-0.4351103,0.9618829,-0.9834254,349.9789,185.5486,0.2715066,-0.1139044,1.003082,-1.1532,320.7518,86.98989,339.6337,-0.05800492,0.9114761,-1.061354,0,0,0,,UMA,
2019-08-12T16:18:41.0410380,,,-0.4350091,0.9618787,-0.9834167,349.9526,185.5396,0.2741203,-0.1137068,1.003017,-1.153238,320.7518,86.98989,339.6337,-0.05794221,0.9113825,-1.061293,0,0,0,,UMA,
2019-08-12T16:18:41.0749470,,,-0.4352176,0.9618778,-0.9835017,349.9692,185.5353,0.2755617,-0.1139677,1.003004,-1.153512,320.7569,86.98595,339.635,-0.05824971,0.9113806,-1.061505,0,0,0,,UMA,
2019-08-12T16:18:41.1048670,,,-0.4351596,0.9618738,-0.9835634,349.9677,185.54,0.2771218,-0.1139933,1.003146,-1.153518,320.7578,86.97961,339.6354,-0.05814558,0.9115558,-1.061514,0,0,0,,UMA,
2019-08-12T16:18:41.1327920,,,-0.4351456,0.961924,-0.9834886,349.9708,185.5368,0.278833,-0.1139268,1.003134,-1.153346,320.76,86.98045,339.6321,-0.05812693,0.9114637,-1.061344,0,0,0,,UMA,
2019-08-12T16:18:41.1597200,,,-0.4350421,0.9619263,-0.9834657,349.9663,185.5527,0.2750013,-0.1139575,1.003128,-1.153271,320.763,86.97569,339.6367,-0.05817342,0.9113872,-1.061281,0,0,0,,UMA,
2019-08-12T16:18:41.1866480,,,-0.4350721,0.9619332,-0.9834541,349.9633,185.5516,0.2805101,-0.1140504,1.003085,-1.153241,320.7639,86.96937,339.6372,-0.05809969,0.9113495,-1.061362,0,0,0,,UMA,
2019-08-12T16:18:41.2026060,,,-0.435197,0.961924,-0.983417,349.9653,185.5505,0.2781026,-0.1139981,1.003101,-1.153277,320.7639,86.96937,339.6372,-0.05818236,0.9113261,-1.061378,0,0,0,,UMA,
2019-08-12T16:18:41.2295340,,,-0.4352242,0.96188,-0.9835858,349.9758,185.5466,0.2749977,-0.1141003,1.003031,-1.153576,320.7597,86.967,339.6363,-0.05832422,0.9112342,-1.061741,0,0,0,,UMA,
2019-08-12T16:18:41.2584560,,,-0.4351571,0.9618928,-0.9834206,349.9686,185.5514,0.2759992,-0.113897,1.00307,-1.153231,320.7627,86.96226,339.641,-0.05807769,0.9113634,-1.061253,0,0,0,,UMA,
2019-08-12T16:18:41.2863820,,,-0.4350919,0.961817,-0.9833505,349.9592,185.5582,0.2752971,-0.1138039,1.003086,-1.153069,320.7647,86.96384,339.6452,-0.05806601,0.911418,-1.061067,0,0,0,,UMA,
2019-08-12T16:18:41.3043340,,,-0.4350194,0.961876,-0.9833505,349.9613,185.5521,0.2870257,-0.1137149,1.003107,-1.153128,320.7668,86.96458,339.6419,-0.05791628,0.9114146,-1.061126,0,0,0,,UMA,
2019-08-12T16:18:41.3292680,,,-0.4350305,0.9618888,-0.983319,349.9566,185.5657,0.2762703,-0.1137238,1.00305,-1.153233,320.7656,86.95753,339.6457,-0.05794972,0.9114562,-1.061287,0,0,0,,UMA,
2019-08-12T16:18:41.3611820,,,-0.4350103,0.9618126,-0.9832504,349.955,185.559,0.288686,-0.1138295,1.002932,-1.153075,320.7656,86.95753,339.6457,-0.05802792,0.9112602,-1.061152,0,0,0,,UMA,
2019-08-12T16:18:41.3861150,,,-0.4350592,0.961823,-0.9833822,349.9601,185.5556,0.287103,-0.1138842,1.002995,-1.153196,320.7666,86.9512,339.6461,-0.05821925,0.9114671,-1.061253,0,0,0,,UMA,
2019-08-12T16:18:41.4160350,,,-0.4349042,0.961844,-0.983459,349.9684,185.5559,0.2792571,-0.1137814,1.002905,-1.153389,320.7666,86.9512,339.6461,-0.05808371,0.9113994,-1.061406,0,0,0,,UMA,
2019-08-12T16:18:41.4379790,,,-0.4349768,0.9619101,-0.9835162,349.9646,185.5613,0.2849725,-0.1138643,1.003047,-1.153466,320.7666,86.9512,339.6461,-0.0582034,0.911431,-1.061524,0,0,0,,UMA,
2019-08-12T16:18:41.4629100,,,-0.4350612,0.9618573,-0.9836187,349.9761,185.5699,0.2706869,-0.1139289,1.002945,-1.153583,320.7675,86.94489,339.6466,-0.05830497,0.911287,-1.061693,0,0,0,,UMA,
2019-08-12T16:18:41.5008120,,,-0.4350927,0.9618503,-0.9836305,349.9671,185.5541,0.2809403,-0.1140524,1.002911,-1.15354,320.7675,86.94489,339.6466,-0.05839449,0.911252,-1.061583,0,0,0,,UMA,
2019-08-12T16:18:41.5157680,,,-0.4351004,0.9618675,-0.9836137,349.9645,185.5627,0.2841817,-0.1140078,1.002936,-1.153261,320.7633,86.94254,339.6457,-0.05832714,0.9113237,-1.061215,0,0,0,,UMA,
2019-08-12T16:18:41.5397040,,,-0.4350915,0.9617981,-0.9834728,349.9681,185.5597,0.2881615,-0.1139655,1.002903,-1.153307,320.7604,86.9473,339.6411,-0.05814475,0.911263,-1.061322,0,0,0,,UMA,
2019-08-12T16:18:41.5646380,,,-0.4350812,0.9618561,-0.9834394,349.9721,185.5622,0.2851961,-0.113907,1.003082,-1.153283,320.7596,86.95284,339.633,-0.05812484,0.9114575,-1.061261,0,0,0,,UMA,
2019-08-12T16:18:41.5935620,,,-0.4352406,0.9618644,-0.9834539,349.9616,185.5544,0.2781774,-0.1139472,1.003042,-1.153387,320.7583,86.94571,339.6368,-0.05818403,0.9113524,-1.061429,0,0,0,,UMA,
2019-08-12T16:18:41.6194910,,,-0.4351752,0.9618862,-0.9833441,349.9566,185.5601,0.2837786,-0.1139719,1.002963,-1.153208,320.7542,86.94337,339.636,-0.05812317,0.9112876,-1.061294,0,0,0,,UMA,
2019-08-12T16:18:41.6439070,,,-0.4352323,0.9619265,-0.9833488,349.965,185.5524,0.2828302,-0.1139924,1.003124,-1.15338,320.7605,86.94653,339.6335,-0.05819505,0.9114313,-1.061423,0,0,0,,UMA,
2019-08-12T16:18:41.7177060,,,-0.4353125,0.9618546,-0.9834975,349.9689,185.5579,0.2761257,-0.1139456,1.003108,-1.153235,320.7563,86.94417,339.6326,-0.05816418,0.9113321,-1.061281,0,0,0,,UMA,
2019-08-12T16:18:41.8264150,,,-0.4351467,0.9619768,-0.9834247,349.9648,185.5537,0.2844753,-0.1140486,1.003123,-1.153166,320.7665,86.93625,339.6353,-0.05814773,0.9113669,-1.061287,0,0,0,,UMA,
2019-08-12T16:18:41.8453650,,,-0.4351349,0.961845,-0.9835095,349.9719,185.5602,0.2900014,-0.114041,1.003068,-1.15335,320.7603,86.93236,339.6302,-0.05822563,0.9113817,-1.0615,0,0,0,,UMA,
2019-08-12T16:18:41.8752850,,,-0.4350799,0.9619607,-0.9834993,349.9746,185.5536,0.2962828,-0.1139169,1.003182,-1.153239,320.7654,86.9284,339.6315,-0.05806583,0.9115101,-1.061332,0,0,0,,UMA,
2019-08-12T16:18:41.9101930,,,-0.4350054,0.9618873,-0.9834976,349.9776,185.5667,0.2943371,-0.1137687,1.003021,-1.153253,320.7642,86.92125,339.6353,-0.05801952,0.9113119,-1.061318,0,0,0,,UMA,
2019-08-12T16:18:41.9436970,,,-0.435062,0.9618741,-0.9834734,349.9853,185.559,0.2995397,-0.113818,1.00305,-1.153302,320.7642,86.92125,339.6353,-0.0581181,0.9113464,-1.061312,0,0,0,,UMA,
2019-08-12T16:18:41.9855840,,,-0.4351131,0.961873,-0.9834239,349.9767,185.5658,0.2961361,-0.1139765,1.002958,-1.153291,320.7634,86.92687,339.6273,-0.05826092,0.9112839,-1.061438,0,0,0,,UMA,
2019-08-12T16:18:42.0105190,,,-0.4350592,0.9618841,-0.9835765,349.9773,185.5761,0.3046353,-0.1140189,1.002962,-1.153144,320.7622,86.91975,339.6311,-0.05810064,0.9113934,-1.061288,0,0,0,,UMA,
2019-08-12T16:18:42.0360000,,,-0.4350011,0.9619163,-0.9834712,349.9708,185.578,0.2966272,-0.1138859,1.003057,-1.15309,320.7622,86.91975,339.6311,-0.05795181,0.9114866,-1.061227,0,0,0,,UMA,
2019-08-12T16:18:42.0659200,,,-0.4349643,0.9619366,-0.9834452,349.9829,185.5818,0.2991055,-0.1138422,1.003075,-1.15301,320.7622,86.91975,339.6311,-0.05795598,0.9114212,-1.061156,0,0,0,,UMA,
2019-08-12T16:18:42.0908540,,,-0.4349578,0.9619448,-0.9834294,349.9816,185.5827,0.3054407,-0.114053,1.003087,-1.152993,320.758,86.91737,339.6302,-0.05840117,0.9114105,-1.061023,0,0,0,,UMA,
2019-08-12T16:18:42.1088060,,,-0.435153,0.962043,-0.9833865,349.9831,185.5807,0.2913238,-0.1140978,1.003119,-1.15299,320.7601,86.91818,339.6269,-0.05841428,0.9114226,-1.060966,0,0,0,,UMA,
2019-08-12T16:18:42.1337390,,,-0.4352045,0.961998,-0.9835532,349.9883,185.5779,0.2945578,-0.1140957,1.00303,-1.153354,320.7581,86.91664,339.6227,-0.05836213,0.9113626,-1.061385,0,0,0,,UMA,
2019-08-12T16:18:42.1676480,,,-0.4352272,0.9621211,-0.9835591,349.9912,185.5865,0.3042495,-0.1141671,1.003196,-1.153341,320.7552,86.92137,339.618,-0.05831659,0.9115192,-1.06147,0,0,0,,UMA,
2019-08-12T16:18:42.1985650,,,-0.4352695,0.9621497,-0.9836407,349.9866,185.5907,0.3029566,-0.1140987,1.003234,-1.153515,320.7552,86.92137,339.618,-0.05827338,0.91153,-1.061653,0,0,0,,UMA,
2019-08-12T16:18:42.2235000,Strong UMA_M6,,-0.4353099,0.962091,-0.983641,349.9883,185.5943,0.3013694,-0.1140201,1.003066,-1.153553,320.7531,86.91982,339.6138,-0.05825168,0.9113181,-1.061619,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.2538720,Strong UMA_M6,,-0.4352134,0.9620823,-0.9837192,349.9994,185.5945,0.3040806,-0.1139466,1.002938,-1.153527,320.7561,86.91505,339.6185,-0.05821222,0.9112372,-1.061603,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.2788060,Strong UMA_M6,,-0.4351243,0.9620226,-0.9837433,349.9909,185.5983,0.3005626,-0.1137116,1.002999,-1.153382,320.7519,86.91272,339.6176,-0.0580287,0.9113379,-1.061397,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.3107200,Strong UMA_M6,,-0.4349968,0.9619597,-0.9836886,349.9781,185.6003,0.3096043,-0.1137241,1.003022,-1.153367,320.7519,86.91272,339.6176,-0.05801517,0.9113979,-1.061465,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.3376490,Strong UMA_M6,,-0.4351187,0.9618586,-0.9837474,349.995,185.6013,0.3048424,-0.1140159,1.002915,-1.153562,320.7519,86.91272,339.6176,-0.05827326,0.9112378,-1.061764,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.3546030,Strong UMA_M6,,-0.4350961,0.9618928,-0.9836252,349.9824,185.6088,0.3045949,-0.1139679,1.002924,-1.153251,320.7478,86.91035,339.6168,-0.05820882,0.9112427,-1.061418,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.3865180,Strong UMA_M6,,-0.4350425,0.9619054,-0.9835739,349.9829,185.6107,0.3103123,-0.1138343,1.003074,-1.15296,320.7499,86.91115,339.6134,-0.0581376,0.9113169,-1.061125,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.4164380,Strong UMA_M6,,-0.4349886,0.9618894,-0.9833901,349.9794,185.6185,0.3084096,-0.1137953,1.002939,-1.152884,320.7499,86.91115,339.6134,-0.05800503,0.9112593,-1.061087,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.4453600,Strong UMA_M6,,-0.4351473,0.9619099,-0.9832928,349.9764,185.6155,0.3125261,-0.1140438,1.003112,-1.152883,320.755,86.90719,339.6147,-0.05823869,0.9114317,-1.061119,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.4752810,Strong UMA_M6,,-0.4353028,0.9618784,-0.9832841,349.9958,185.6072,0.2981975,-0.1142071,1.003125,-1.153138,320.7518,86.89851,339.6143,-0.05854917,0.9114742,-1.061271,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.5052010,Strong UMA_M6,,-0.4351887,0.9619759,-0.983362,349.9875,185.6102,0.3092659,-0.1138561,1.003172,-1.153266,320.7518,86.89851,339.6143,-0.05804348,0.9114891,-1.061343,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.5231530,Strong UMA_M6,,-0.4352868,0.96196,-0.9835629,349.9858,185.615,0.3045329,-0.1139013,1.003157,-1.153522,320.7518,86.89851,339.6143,-0.05808032,0.9114711,-1.061632,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.5560650,Strong UMA_M6,,-0.4354388,0.9619362,-0.9836172,349.9944,185.6186,0.3115106,-0.1140621,1.003002,-1.153596,320.7497,86.89698,339.6101,-0.05831861,0.9112646,-1.061729,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.5849880,Strong UMA_M6,,-0.435229,0.9618648,-0.9836769,349.9894,185.6259,0.3143956,-0.113852,1.002905,-1.153607,320.7539,86.89931,339.611,-0.05800027,0.9112787,-1.061637,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.6198940,Strong UMA_M6,,-0.4353001,0.9619645,-0.9835682,349.9921,185.618,0.3215158,-0.1141129,1.003012,-1.153341,320.7548,86.89302,339.6115,-0.05824709,0.9114894,-1.061344,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.6677660,Strong UMA_M6,,-0.4352856,0.9620043,-0.9835585,349.9932,185.612,0.3212268,-0.1138449,1.003065,-1.153311,320.7556,86.88744,339.6195,-0.05816001,0.9113772,-1.061311,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.6847210,Strong UMA_M6,,-0.4352562,0.9619519,-0.9835192,349.981,185.6177,0.3204708,-0.1137987,1.003086,-1.153249,320.7565,86.8811,339.6199,-0.05808073,0.9113869,-1.06122,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.7036700,Strong UMA_M6,,-0.4352562,0.9619519,-0.9835192,349.981,185.6177,0.3204708,-0.1137342,1.003088,-1.153247,320.7587,86.88194,339.6166,-0.05796558,0.9113992,-1.061238,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.7236170,Strong UMA_M6,,-0.4352562,0.9619519,-0.9835192,349.981,185.6177,0.3204708,-0.1137198,1.003105,-1.153324,320.7575,86.8748,339.6204,-0.05794233,0.9114482,-1.061391,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.7425660,Strong UMA_M6,,-0.4352562,0.9619519,-0.9835192,349.981,185.6177,0.3204708,-0.1137811,1.003114,-1.153295,320.7604,86.87006,339.6251,-0.05800653,0.9114136,-1.061244,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.7645070,Strong UMA_M6,,-0.4350696,0.9619589,-0.983542,349.9832,185.6254,0.3315993,-0.1138918,1.002996,-1.15325,320.7604,86.87006,339.6251,-0.0581907,0.9112229,-1.061272,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.7844540,Strong UMA_M6,,-0.4350696,0.9619589,-0.983542,349.9832,185.6254,0.3315993,-0.1138771,1.002905,-1.153423,320.7604,86.87006,339.6251,-0.05827254,0.9111907,-1.06148,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.8063950,Strong UMA_M6,,-0.4350696,0.9619589,-0.983542,349.9832,185.6254,0.3315993,-0.1138783,1.002965,-1.153495,320.7625,86.87084,339.6217,-0.05837959,0.9112597,-1.061542,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.8283370,Strong UMA_M6,,-0.4350696,0.9619589,-0.983542,349.9832,185.6254,0.3315993,-0.1140145,1.003209,-1.153502,320.7614,86.86374,339.6255,-0.05839968,0.9115891,-1.061601,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.8472870,Strong UMA_M6,,-0.4350696,0.9619589,-0.983542,349.9832,185.6254,0.3315993,-0.1140145,1.003209,-1.153502,320.7643,86.859,339.6302,-0.05839968,0.9115891,-1.061601,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.8672330,Strong UMA_M6,,-0.4350696,0.9619589,-0.983542,349.9832,185.6254,0.3315993,-0.1140827,1.00302,-1.153645,320.7664,86.85979,339.6268,-0.0584414,0.9113159,-1.061698,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.8861820,Strong UMA_M6,,-0.4350696,0.9619589,-0.983542,349.9832,185.6254,0.3315993,-0.1139584,1.002869,-1.153625,320.7664,86.85979,339.6268,-0.0583722,0.9112193,-1.061489,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.9051330,Strong UMA_M6,,-0.4349871,0.9617347,-0.983587,349.9961,185.6272,0.3300079,-0.11381,1.002956,-1.153498,320.7623,86.85741,339.626,-0.0580284,0.9113352,-1.061618,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.9619810,Strong UMA_M6,,-0.4349831,0.9617705,-0.9834931,349.9908,185.6428,0.3309582,-0.114067,1.00283,-1.153108,320.7674,86.85349,339.6273,-0.05821693,0.9110261,-1.061269,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.9709560,Strong UMA_M6,,-0.4349831,0.9617705,-0.9834931,349.9908,185.6428,0.3309582,-0.114067,1.00283,-1.153108,320.7632,86.85109,339.6264,-0.05821693,0.9110261,-1.061269,0,0,0,start_trial,UMA,
2019-08-12T16:18:42.9938950,Strong UMA_M6,,-0.4349831,0.9617705,-0.9834931,349.9908,185.6428,0.3309582,-0.1140289,1.003059,-1.152949,320.7661,86.84635,339.6311,-0.05817938,0.9113402,-1.061081,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.0178300,Strong UMA_M6,,-0.4349831,0.9617705,-0.9834931,349.9908,185.6428,0.3309582,-0.1140888,1.003238,-1.153135,320.7671,86.84003,339.6315,-0.05832785,0.9115916,-1.061249,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.0367800,Strong UMA_M6,,-0.4349831,0.9617705,-0.9834931,349.9908,185.6428,0.3309582,-0.1139693,1.003253,-1.153182,320.7661,86.84635,339.6311,-0.05818731,0.9116006,-1.06134,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.0577230,Strong UMA_M6,,-0.4349489,0.9617825,-0.9834833,349.9917,185.648,0.3268848,-0.1139281,1.003144,-1.153403,320.7649,86.83924,339.6349,-0.058182,0.9114931,-1.061515,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.0786680,Strong UMA_M6,,-0.4350094,0.9620978,-0.9835799,349.9979,185.6469,0.3323067,-0.1139177,1.003148,-1.153433,320.7671,86.84003,339.6315,-0.0581665,0.9114945,-1.061595,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.1036010,Strong UMA_M6,,-0.4350963,0.9620493,-0.9835942,350.0086,185.6569,0.3209049,-0.1140711,1.003061,-1.153514,320.7649,86.83924,339.6349,-0.05838603,0.9113587,-1.061701,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.1265420,Strong UMA_M6,,-0.4351041,0.96199,-0.9835355,350.0059,185.6552,0.3242385,-0.1141068,1.002937,-1.153329,320.762,86.844,339.6302,-0.05835783,0.9112779,-1.061381,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.1526830,Strong UMA_M6,,-0.4350786,0.9619517,-0.9834658,350.0035,185.6564,0.325801,-0.1139762,1.002929,-1.153092,320.7599,86.84243,339.626,-0.05826437,0.9113232,-1.061205,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.1766170,Strong UMA_M6,,-0.4350717,0.9619535,-0.9834614,349.9966,185.6535,0.3227236,-0.1140478,1.002902,-1.153421,320.7599,86.84243,339.626,-0.05826294,0.9112573,-1.06151,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.1935710,Strong UMA_M6,,-0.4352117,0.9619175,-0.983551,350.0005,185.6536,0.3250959,-0.1140226,1.002959,-1.153424,320.7599,86.84243,339.626,-0.05822057,0.9113147,-1.061499,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.2185100,Strong UMA_M6,,-0.4352145,0.9619421,-0.9835522,350.0006,185.6595,0.3147771,-0.1140798,1.003054,-1.15338,320.7599,86.84243,339.626,-0.05825198,0.9113754,-1.061461,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.2407250,Strong UMA_M6,,-0.4352264,0.9619579,-0.9835628,349.9999,185.6581,0.3151853,-0.1139489,1.002982,-1.153386,320.7579,86.84087,339.6218,-0.0580889,0.9113291,-1.06144,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.2586780,Strong UMA_M6,,-0.4351442,0.9618868,-0.9835817,350.0034,185.6667,0.3145545,-0.1139837,1.0029,-1.153335,320.7579,86.84087,339.6218,-0.05812675,0.9111896,-1.061406,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.2816160,Strong UMA_M6,,-0.4350907,0.9618518,-0.983629,350.0027,185.6634,0.3251769,-0.1140403,1.002904,-1.15337,320.7516,86.8377,339.6243,-0.05802447,0.9112133,-1.061455,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.3155320,Strong UMA_M6,,-0.4350858,0.9619656,-0.9836135,350.0092,185.6666,0.3126951,-0.1139511,1.003034,-1.153266,320.7609,86.83611,339.6265,-0.05807477,0.9114116,-1.061295,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.3384640,Strong UMA_M6,,-0.4349641,0.9619434,-0.983546,350.012,185.6623,0.3237986,-0.1139225,1.003058,-1.15327,320.7596,86.82898,339.6303,-0.05805582,0.91146,-1.061303,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.3604100,Strong UMA_M6,,-0.4350245,0.9618514,-0.9837233,350.0167,185.6727,0.3091755,-0.1139935,1.002817,-1.153544,320.7576,86.82742,339.6261,-0.05818939,0.9110758,-1.061603,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.3863360,Strong UMA_M6,,-0.4350225,0.9618999,-0.9837055,350.0126,185.6774,0.3130769,-0.1141248,1.002926,-1.153563,320.7639,86.83057,339.6236,-0.05819428,0.91123,-1.061577,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.4162560,Strong UMA_M6,,-0.4350537,0.9618791,-0.9836833,350.0098,185.6847,0.3144954,-0.1141943,1.002862,-1.153556,320.7598,86.82822,339.6227,-0.05822641,0.9112149,-1.061473,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.4428050,Strong UMA_M6,,-0.4350806,0.9619533,-0.9835887,350.0156,185.6815,0.3209351,-0.1140802,1.003084,-1.153154,320.7598,86.82822,339.6227,-0.05814576,0.9114936,-1.061131,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.4657380,Strong UMA_M6,,-0.4350375,0.961948,-0.9834603,350.0067,185.6826,0.3156758,-0.1141123,1.003,-1.15312,320.7556,86.82586,339.6219,-0.05833513,0.911361,-1.061119,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.4926690,Strong UMA_M6,,-0.435022,0.9618832,-0.9834542,350.0096,185.6843,0.3199377,-0.1141168,1.003084,-1.15317,320.7548,86.83141,339.6139,-0.05830097,0.9114403,-1.061195,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.5146110,Strong UMA_M6,,-0.4350287,0.9619116,-0.9835477,350.0082,185.6872,0.3131941,-0.1140331,1.003159,-1.153381,320.7506,86.82905,339.613,-0.05819005,0.9114366,-1.061423,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.5365500,Strong UMA_M6,,-0.4350156,0.961833,-0.9835733,350.0092,185.691,0.3212891,-0.1140092,1.002956,-1.153401,320.7536,86.82429,339.6177,-0.05823839,0.9113253,-1.061523,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.5594950,Strong UMA_M6,,-0.4351004,0.9618081,-0.9834498,350.009,185.7038,0.3159699,-0.114036,1.002893,-1.153208,320.7599,86.82743,339.6152,-0.05814463,0.911271,-1.061249,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.5834300,Strong UMA_M6,,-0.4351439,0.9618295,-0.9834394,350.0135,185.6912,0.308576,-0.1140468,1.002993,-1.153245,320.7523,86.81718,339.6215,-0.05809259,0.9113306,-1.06124,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.6093600,Strong UMA_M6,,-0.4350798,0.9618909,-0.9834011,350.0109,185.689,0.3148003,-0.1140916,1.003105,-1.153454,320.7565,86.81956,339.6223,-0.05822414,0.9112884,-1.061441,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.6382820,Strong UMA_M6,,-0.4351586,0.9618307,-0.9834561,350.0188,185.7013,0.307701,-0.1141344,1.003033,-1.153453,320.7574,86.81322,339.6228,-0.05835378,0.9112368,-1.061445,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.6632200,Strong UMA_M6,,-0.4350619,0.9618285,-0.9834656,350.0296,185.701,0.3123284,-0.114196,1.003018,-1.153393,320.7596,86.81403,339.6194,-0.05838859,0.9111912,-1.061331,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.6851580,Strong UMA_M6,,-0.4350556,0.9617983,-0.9834514,350.0143,185.6974,0.3111449,-0.1139076,1.002981,-1.153352,320.7584,86.80691,339.6233,-0.05813736,0.9112638,-1.061348,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.7130830,Strong UMA_M6,,-0.4351518,0.9618286,-0.9834203,350.0207,185.6985,0.3122767,-0.1140703,1.00301,-1.153209,320.7554,86.81163,339.6186,-0.05832881,0.9113875,-1.061217,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.7380170,Strong UMA_M6,,-0.4351522,0.9618073,-0.9834332,350.0333,185.6955,0.3127407,-0.114077,1.00288,-1.153252,320.7542,86.80457,339.6224,-0.05840403,0.9112435,-1.061289,0,0,0,start_trial,UMA,
2019-08-12T16:18:43.7629500,Strong UMA_M6,,-0.4350193,0.9618339,-0.9834106,350.0145,185.7025,0.3190447,-0.1140829,1.002918,-1.153113,320.7571,86.79979,339.6271,-0.05831414,0.9113823,-1.061099,0,0,0,start_trial,UMA,
